Country,Land Area(Km2),Total number of disasters,Total number of Deaths,Num of disasters/area
North Korea,120538,42,2951.0,0.0003484378370306459
North Macedonia,25713,27,135.0,0.0010500525026251313
Norway,323802,12,95.0,3.705968462208386e-05
Oman,309500,20,307.0,6.462035541195476e-05
Pakistan,796095,314,92445.0,0.0003944252884391938
Palau,459,5,0.0,0.010893246187363835
Palestinian National Authority,,11,43.0,
Panama,75420,50,339.0,0.0006629541235746487
Papua New Guinea,462840,62,1275.0,0.0001339555786016766
Paraguay,406752,45,631.0,0.00011063252301156478
Peru,1285216,231,7284.0,0.00017973632447775315
Philippines,300000,455,30118.0,0.0015166666666666666
Poland,312685,59,2937.0,0.00018868829652845514
Portugal,92212,42,5794.0,0.00045547217281915586
Qatar,11586,5,72.0,0.00043155532539271535
Romania,238391,82,3347.0,0.00034397271709082976
Russia,17098240,306,63045.0,1.789657882916604e-05
Rwanda,26338,50,1025.0,0.0018983977522970613
Saint Kitts and Nevis,261,2,0.0,0.007662835249042145
Saint Lucia,616,11,25.0,0.017857142857142856
Saint Vincent and the Grenadines,389,13,25.0,0.033419023136246784
Samoa,2831,8,253.0,0.00282585658777817
Saudi Arabia,2149690,60,4374.0,2.7911001121091878e-05
Senegal,196722,68,1323.0,0.0003456654568375677
Serbia,77474,32,673.0,0.00041304179466659783
Seychelles,455,7,3.0,0.015384615384615385
Sierra Leone,71740,36,6548.0,0.0005018120992472819
Singapore,716,4,45.0,0.00558659217877095
Slovakia,49035,28,591.0,0.0005710206995003569
Slovenia,20273,14,469.0,0.0006905736694125191
Solomon Islands,28896,22,197.0,0.0007613510520487265
Somalia,637657,97,24749.0,0.0001521193996145263
South Africa,1219090,220,3940.0,0.00018046247610922902
South Korea,99720,97,2526.0,0.0009727236261532291
South Sudan,644329,32,840.0,4.966406913238423e-05
Spain,505370,97,27467.0,0.00019193857965451057
Sri Lanka,65610,92,38228.0,0.0014022252705380277
Sudan,1861484,123,6508.0,6.607631330701741e-05
Suriname,163820,7,45.0,4.272982541814186e-05
Sweden,450295,10,56.0,2.220766386479974e-05
Switzerland,41277,41,1527.0,0.0009932892409816605
Syria,185180,41,6579.0,0.00022140619937358245
Tajikistan,144100,63,434.0,0.0004371963913948647
Tanzania,947300,148,4084.0,0.0001562335057531933
Thailand,513120,173,12178.0,0.00033715310258808855
East Timor,14874,14,93.0,0.0009412397472098965
Togo,56785,27,746.0,0.0004754776789645153
Tonga,747,15,89.0,0.020080321285140562
Trinidad and Tobago,5128,6,3.0,0.001170046801872075
Tunisia,163610,50,1488.0,0.0003056047918831367
Turkey,783562,206,55248.0,0.0002629019784011986
Turkmenistan,488100,2,26.0,4.097520999795124e-06
Tuvalu,26,5,18.0,0.19230769230769232
Uganda,241038,152,6426.0,0.0006306059625453248
Ukraine,603550,80,2402.0,0.0001325490845828846
United Arab Emirates,83600,12,175.0,0.00014354066985645933
United Kingdom,243610,72,7549.0,0.0002955543696892574
United States,9833517,698,11311.0,7.098172505320324e-05
Uruguay,176215,34,68.0,0.00019294611695939618
Uzbekistan,447400,10,91.0,2.2351363433169423e-05
Vanuatu,12189,26,30.0,0.002133070801542374
Venezuela,912050,67,1253.0,7.346088481991119e-05
Vietnam,331210,227,6302.0,0.0006853657800187193
Yemen,527968,91,3863.0,0.0001723589308442936
Zambia,752618,69,1526.0,9.167997576459772e-05
Zimbabwe,390757,85,7705.0,0.00021752649344733427
